day_pt,days_in_guild,muters,interval_start_timestamp
2024-10-16T00:00:00+00:00,Existing Members,1,2024-10-16T00:00:00+00:00
2024-10-16T00:00:00+00:00,New Members,0,2024-10-16T00:00:00+00:00
2024-10-17T00:00:00+00:00,Existing Members,1,2024-10-17T00:00:00+00:00
2024-10-17T00:00:00+00:00,New Members,0,2024-10-17T00:00:00+00:00
2024-10-18T00:00:00+00:00,Existing Members,0,2024-10-18T00:00:00+00:00
2024-10-18T00:00:00+00:00,New Members,0,2024-10-18T00:00:00+00:00
2024-10-19T00:00:00+00:00,Existing Members,0,2024-10-19T00:00:00+00:00
2024-10-19T00:00:00+00:00,New Members,0,2024-10-19T00:00:00+00:00
2024-10-20T00:00:00+00:00,Existing Members,1,2024-10-20T00:00:00+00:00
2024-10-20T00:00:00+00:00,New Members,1,2024-10-20T00:00:00+00:00
2024-10-21T00:00:00+00:00,Existing Members,2,2024-10-21T00:00:00+00:00
2024-10-21T00:00:00+00:00,New Members,0,2024-10-21T00:00:00+00:00
2024-10-22T00:00:00+00:00,Existing Members,0,2024-10-22T00:00:00+00:00
2024-10-22T00:00:00+00:00,New Members,0,2024-10-22T00:00:00+00:00
2024-10-23T00:00:00+00:00,Existing Members,3,2024-10-23T00:00:00+00:00
2024-10-23T00:00:00+00:00,New Members,0,2024-10-23T00:00:00+00:00
2024-10-24T00:00:00+00:00,Existing Members,1,2024-10-24T00:00:00+00:00
2024-10-24T00:00:00+00:00,New Members,1,2024-10-24T00:00:00+00:00
2024-10-25T00:00:00+00:00,Existing Members,0,2024-10-25T00:00:00+00:00
2024-10-25T00:00:00+00:00,New Members,0,2024-10-25T00:00:00+00:00
2024-10-26T00:00:00+00:00,Existing Members,1,2024-10-26T00:00:00+00:00
2024-10-26T00:00:00+00:00,New Members,1,2024-10-26T00:00:00+00:00
2024-10-27T00:00:00+00:00,Existing Members,0,2024-10-27T00:00:00+00:00
2024-10-27T00:00:00+00:00,New Members,0,2024-10-27T00:00:00+00:00
2024-10-28T00:00:00+00:00,Existing Members,1,2024-10-28T00:00:00+00:00
2024-10-28T00:00:00+00:00,New Members,1,2024-10-28T00:00:00+00:00
2024-10-29T00:00:00+00:00,Existing Members,3,2024-10-29T00:00:00+00:00
2024-10-29T00:00:00+00:00,New Members,0,2024-10-29T00:00:00+00:00
2024-10-30T00:00:00+00:00,Existing Members,0,2024-10-30T00:00:00+00:00
2024-10-30T00:00:00+00:00,New Members,1,2024-10-30T00:00:00+00:00
2024-10-31T00:00:00+00:00,Existing Members,1,2024-10-31T00:00:00+00:00
2024-10-31T00:00:00+00:00,New Members,0,2024-10-31T00:00:00+00:00
2024-11-01T00:00:00+00:00,Existing Members,0,2024-11-01T00:00:00+00:00
2024-11-01T00:00:00+00:00,New Members,2,2024-11-01T00:00:00+00:00
2024-11-02T00:00:00+00:00,Existing Members,5,2024-11-02T00:00:00+00:00
2024-11-02T00:00:00+00:00,New Members,0,2024-11-02T00:00:00+00:00
2024-11-03T00:00:00+00:00,Existing Members,0,2024-11-03T00:00:00+00:00
2024-11-03T00:00:00+00:00,New Members,0,2024-11-03T00:00:00+00:00
2024-11-04T00:00:00+00:00,Existing Members,0,2024-11-04T00:00:00+00:00
2024-11-04T00:00:00+00:00,New Members,0,2024-11-04T00:00:00+00:00
2024-11-05T00:00:00+00:00,Existing Members,2,2024-11-05T00:00:00+00:00
2024-11-05T00:00:00+00:00,New Members,2,2024-11-05T00:00:00+00:00
2024-11-06T00:00:00+00:00,Existing Members,1,2024-11-06T00:00:00+00:00
2024-11-06T00:00:00+00:00,New Members,0,2024-11-06T00:00:00+00:00
2024-11-07T00:00:00+00:00,Existing Members,1,2024-11-07T00:00:00+00:00
2024-11-07T00:00:00+00:00,New Members,0,2024-11-07T00:00:00+00:00
2024-11-08T00:00:00+00:00,Existing Members,0,2024-11-08T00:00:00+00:00
2024-11-08T00:00:00+00:00,New Members,1,2024-11-08T00:00:00+00:00
2024-11-09T00:00:00+00:00,Existing Members,0,2024-11-09T00:00:00+00:00
2024-11-09T00:00:00+00:00,New Members,1,2024-11-09T00:00:00+00:00
2024-11-10T00:00:00+00:00,Existing Members,0,2024-11-10T00:00:00+00:00
2024-11-10T00:00:00+00:00,New Members,0,2024-11-10T00:00:00+00:00
2024-11-11T00:00:00+00:00,Existing Members,1,2024-11-11T00:00:00+00:00
2024-11-11T00:00:00+00:00,New Members,0,2024-11-11T00:00:00+00:00
2024-11-12T00:00:00+00:00,Existing Members,0,2024-11-12T00:00:00+00:00
2024-11-12T00:00:00+00:00,New Members,1,2024-11-12T00:00:00+00:00
2024-11-13T00:00:00+00:00,Existing Members,2,2024-11-13T00:00:00+00:00
2024-11-13T00:00:00+00:00,New Members,0,2024-11-13T00:00:00+00:00
2024-11-14T00:00:00+00:00,Existing Members,1,2024-11-14T00:00:00+00:00
2024-11-14T00:00:00+00:00,New Members,0,2024-11-14T00:00:00+00:00
